rank,name,state_name,state_code,type,degree_length,in_state_total,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,Color,tuition_increase,salary_increase,position
10,Lewis & Clark College,Oregon,OR,Private,4 Year,63424,63424,50000,93200,51,12,#4169E1,100%,54%,
25,Lewis University,Illinois,IL,Private,4 Year,43028,43028,49700,89800,53,14,#4169E1,100%,55%,
7,Lewis-Clark State College,Idaho,ID,Public,4 Year,14198,26816,44900,77600,60,5,#CD853F,53%,58%,
16,Limestone College,South-Carolina,SC,Private,4 Year,35765,35765,42100,76500,57,10,#4169E1,100%,55%,
21,Lindenwood University,Missouri,MO,Private,4 Year,26600,26600,45100,78500,48,9,#4169E1,100%,57%,
25,Lindsey Wilson College,Kentucky,KY,Private,4 Year,34235,34235,35300,64100,52,2,#4169E1,100%,55%,
9,Lipscomb University,Tennessee,TN,Private,4 Year,44796,44796,49000,84800,59,12,#4169E1,100%,58%,
21,Longwood University,Virginia,VA,Public,4 Year,25086,41046,47300,83300,54,9,#CD853F,61%,57%,
7,Loras College,Iowa,IA,Private,4 Year,42459,42459,48000,90100,56,14,#4169E1,100%,53%,
17,Louisiana College,Louisiana,LA,Private,4 Year,22618,22618,44800,79800,58,4,#4169E1,100%,56%,
3,Louisiana Tech University,Louisiana,LA,Public,4 Year,16140,25053,53100,100700,57,24,#CD853F,64%,53%,
18,Loyola Marymount University,California,CA,Private,4 Year,63012,63012,58500,113300,39,9,#4169E1,100%,52%,
12,Loyola University Chicago,Illinois,IL,Private,4 Year,58528,58528,53400,96000,45,15,#4169E1,100%,56%,
5,Loyola University Maryland,Maryland,MD,Private,4 Year,63515,63515,59900,111200,40,8,#4169E1,100%,54%,
9,Loyola University New Orleans,Louisiana,LA,Private,4 Year,53072,53072,47900,88600,47,4,#4169E1,100%,54%,
14,Luther College,Iowa,IA,Private,4 Year,51750,51750,48200,85900,49,21,#4169E1,100%,56%,
13,Lyndon State College,Vermont,VT,Public,4 Year,22672,35992,41500,75100,49,8,#CD853F,63%,55%,
22,Lynn University,Florida,FL,Private,4 Year,50380,50380,46100,85000,45,2,#4169E1,100%,54%,
15,Lyon College,Arkansas,AR,Private,4 Year,37920,37920,41200,74300,53,33,#4169E1,100%,55%,
6,Macalester College,Minnesota,MN,Private,4 Year,66500,66500,53600,100400,51,31,#4169E1,100%,53%,
16,Maharishi University of Management,Iowa,IA,Private,4 Year,23930,23930,46800,85200,NA,65,#4169E1,100%,55%,
17,Maine College of Art,Maine,ME,Private,4 Year,46890,46890,36300,64600,37,0,#4169E1,100%,56%,
1,Maine Maritime Academy,Maine,ME,Public,4 Year,23788,37408,67000,121800,65,48,#CD853F,64%,55%,
20,Manchester University,Indiana,IN,Private,4 Year,42338,42338,46900,84700,56,10,#4169E1,100%,55%,
24,Manhattan Christian College,Kansas,KS,Private,4 Year,24942,24942,39400,72200,NA,0,#4169E1,100%,55%,
12,Manhattan College,New-York,NY,Private,4 Year,59680,59680,64000,125700,46,40,#4169E1,100%,51%,
15,Marietta College,Ohio,OH,Private,4 Year,47360,47360,51200,94300,57,45,#4169E1,100%,54%,
