rank,name,state_name,state_code,type,degree_length,in_state_total,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,Color,tuition_increase,salary_increase,position
2,University of Utah,Utah,UT,Public,4 Year,19484,39477,54800,102600,57,22,#CD853F,49%,53%,
2,University of Vermont,Vermont,VT,Public,4 Year,30738,54978,53200,99400,50,22,#CD853F,56%,54%,
17,University of West Alabama,Alabama,AL,Public,4 Year,18156,26606,42700,76100,61,4,#CD853F,68%,56%,
15,University of West Georgia,Georgia,GA,Public,4 Year,18210,31692,46700,82700,51,9,#CD853F,57%,56%,
7,University of Wisconsin-Eau Claire,Wisconsin,WI,Public,4 Year,16633,24909,52100,93600,46,14,#CD853F,67%,56%,
14,University of Wisconsin-La Crosse,Wisconsin,WI,Public,4 Year,15437,24255,49600,88300,53,19,#CD853F,64%,56%,
3,University of Wisconsin-Madison,Wisconsin,WI,Public,4 Year,21669,47919,57300,104400,48,33,#CD853F,45%,55%,
9,University of Wisconsin-Milwaukee,Wisconsin,WI,Public,4 Year,21812,33092,50600,90300,50,17,#CD853F,66%,56%,
19,University of Wisconsin-Oshkosh,Wisconsin,WI,Public,4 Year,16268,23841,47700,84300,52,10,#CD853F,68%,57%,
24,University of Wisconsin-Parkside,Wisconsin,WI,Public,4 Year,15555,23544,46000,81400,47,17,#CD853F,66%,57%,
4,University of Wisconsin-Platteville,Wisconsin,WI,Public,4 Year,15151,23001,56800,100300,50,38,#CD853F,66%,57%,
25,University of Wisconsin-River Falls,Wisconsin,WI,Public,4 Year,14375,21948,47100,81300,52,14,#CD853F,65%,58%,
11,University of Wisconsin-Stout,Wisconsin,WI,Public,4 Year,16381,24347,50400,89500,47,14,#CD853F,67%,56%,
12,University of Wisconsin-Whitewater,Wisconsin,WI,Public,4 Year,14478,23051,48900,89300,44,8,#CD853F,63%,55%,
1,University of Wyoming,Wyoming,WY,Public,4 Year,15720,27810,52400,98800,58,25,#CD853F,57%,53%,
24,Upper Iowa University,Iowa,IA,Private,4 Year,38904,38904,44200,78000,56,3,#4169E1,100%,57%,
18,Ursinus College,Pennsylvania,PA,Private,4 Year,64800,64800,54400,101800,42,40,#4169E1,100%,53%,
4,Utah State University,Utah,UT,Public,4 Year,13824,27905,52400,93900,61,14,#CD853F,50%,56%,
7,Utah Valley University,Utah,UT,Public,4 Year,5726,16296,51100,90600,57,12,#CD853F,35%,56%,
19,Valdosta State University,Georgia,GA,Public,4 Year,15586,29068,43400,81000,57,7,#CD853F,54%,54%,
8,Valley City State University,North-Dakota,ND,Public,4 Year,14072,23612,39900,68600,56,3,#CD853F,60%,58%,
8,Valparaiso University,Indiana,IN,Private,4 Year,52120,52120,53300,98000,52,31,#4169E1,100%,54%,
1,Vanderbilt University,Tennessee,TN,Private,4 Year,66050,66050,65400,119100,48,23,#4169E1,100%,55%,
5,Vermont Technical College,Vermont,VT,Public,4 Year,25706,38378,52400,93900,41,4,#CD853F,67%,56%,
7,Villanova University,Pennsylvania,PA,Private,4 Year,67328,67328,65100,119500,41,23,#4169E1,100%,54%,
16,Virginia Commonwealth University,Virginia,VA,Public,4 Year,24918,45566,49900,88200,52,18,#CD853F,55%,57%,
2,Virginia Military Institute,Virginia,VA,Public,4 Year,28290,55134,65900,120600,68,47,#CD853F,51%,55%,
4,Virginia Polytechnic Institute and State University,Virginia,VA,Public,4 Year,22554,40238,62700,114000,48,42,#CD853F,56%,55%,
24,Virginia State University,Virginia,VA,Public,4 Year,20264,30784,44900,81800,61,14,#CD853F,66%,55%,
22,Viterbo University,Wisconsin,WI,Private,4 Year,37030,37030,46800,81900,62,3,#4169E1,100%,57%,
3,Wabash College,Indiana,IN,Private,4 Year,53500,53500,62200,114400,40,34,#4169E1,100%,54%,
2,Wake Forest University,North-Carolina,NC,Private,4 Year,69354,69354,60700,114800,44,13,#4169E1,100%,53%,
11,Walla Walla University,Washington,WA,Private,4 Year,32310,32310,53700,97800,54,22,#4169E1,100%,55%,
20,Walsh College of Accountancy and Business Administration,Michigan,MI,Private,4 Year,17625,17625,49400,85200,42,5,#4169E1,100%,58%,
12,Wartburg College,Iowa,IA,Private,4 Year,51276,51276,49300,88000,49,34,#4169E1,100%,56%,
12,Washburn University,Kansas,KS,Public,4 Year,17107,28177,47000,83000,54,4,#CD853F,61%,57%,
10,Washington Adventist University,Maryland,MD,Private,4 Year,33270,33270,55600,97600,63,9,#4169E1,100%,57%,
1,Washington and Lee University,Virginia,VA,Private,4 Year,66380,66380,65900,123200,40,18,#4169E1,100%,53%,
14,Washington College,Maryland,MD,Private,4 Year,59392,59392,52800,93500,55,21,#4169E1,100%,56%,
5,Washington State University,Washington,WA,Public,4 Year,22979,37763,55900,103700,50,20,#CD853F,61%,54%,
18,Wayne State College,Nebraska,NE,Public,4 Year,14657,19967,40600,73400,54,11,#CD853F,73%,55%,
12,Wayne State University,Michigan,MI,Public,4 Year,23774,38668,50800,91700,53,21,#CD853F,61%,55%,
3,Webb Institute,New-York,NY,Private,4 Year,65225,65225,80800,141800,NA,100,#4169E1,100%,57%,
3,Weber State University,Utah,UT,Public,4 Year,12110,22864,53900,94000,60,8,#CD853F,53%,57%,
15,Webster University,Missouri,MO,Private,4 Year,38950,38950,46500,83500,50,2,#4169E1,100%,56%,
18,Wellesley College,Massachusetts,MA,Private,4 Year,70200,70200,58900,106200,48,34,#4169E1,100%,55%,
15,Wentworth Institute of Technology,Massachusetts,MA,Private,4 Year,48140,48140,62700,112700,53,39,#4169E1,100%,56%,
4,Wesley College,Delaware,DE,Private,4 Year,38123,38123,45400,77300,50,2,#4169E1,100%,59%,
3,Wesleyan University,Connecticut,CT,Private,4 Year,69974,69974,61600,117000,53,21,#4169E1,100%,53%,
10,West Liberty University,West-Virginia,WV,Public,4 Year,17136,25076,42500,77000,51,6,#CD853F,68%,55%,
12,West Virginia State University,West-Virginia,WV,Public,4 Year,20059,27964,41800,76000,46,8,#CD853F,72%,55%,
2,West Virginia University,West-Virginia,WV,Public,4 Year,19774,35868,54400,99900,52,22,#CD853F,55%,54%,
18,West Virginia University at Parkersburg,West-Virginia,WV,Public,2 Year,6330,10920,36700,65200,67,3,#CD853F,58%,56%,
1,West Virginia University Institute of Technology,West-Virginia,WV,Public,4 Year,18854,30038,57100,103700,56,40,#CD853F,63%,55%,
5,West Virginia Wesleyan College,West-Virginia,WV,Private,4 Year,40496,40496,47000,85200,53,21,#4169E1,100%,55%,
25,Western Carolina University,North-Carolina,NC,Public,4 Year,13902,17902,44700,77700,58,8,#CD853F,78%,58%,
15,Western Connecticut State University,Connecticut,CT,Public,4 Year,23891,35131,51700,88100,50,6,#CD853F,68%,59%,
6,Western Governors University,Utah,UT,Private,4 Year,6670,6670,54500,91500,57,9,#4169E1,100%,60%,
8,Western Kentucky University,Kentucky,KY,Public,4 Year,18945,34839,45500,83100,49,10,#CD853F,54%,55%,
11,Western Michigan University,Michigan,MI,Public,4 Year,22626,25516,50900,92200,47,16,#CD853F,89%,55%,
20,Western New England University,Massachusetts,MA,Private,4 Year,50394,50394,56400,103000,44,21,#4169E1,100%,55%,
5,Western New Mexico University,New-Mexico,NM,Public,4 Year,15960,24367,41700,76700,75,4,#CD853F,65%,54%,
20,Western Oregon University,Oregon,OR,Public,4 Year,19955,36830,44500,79300,50,5,#CD853F,54%,56%,
14,Western State Colorado University,Colorado,CO,Public,4 Year,19749,31221,44800,81500,47,19,#CD853F,63%,55%,
9,Western Washington University,Washington,WA,Public,4 Year,19598,35010,55000,99300,45,16,#CD853F,56%,55%,
7,Wheeling Jesuit University,West-Virginia,WV,Private,4 Year,39190,39190,44800,83400,57,5,#4169E1,100%,54%,
7,Whitman College,Washington,WA,Private,4 Year,64938,64938,54600,102600,53,33,#4169E1,100%,53%,
17,Whitworth University,Washington,WA,Private,4 Year,55136,55136,49900,88800,52,18,#4169E1,100%,56%,
7,Wichita State University,Kansas,KS,Public,4 Year,19523,28704,48700,87300,57,24,#CD853F,68%,56%,
21,Widener University,Pennsylvania,PA,Private,4 Year,60394,60394,55700,100100,57,13,#4169E1,100%,56%,
6,Willamette University,Oregon,OR,Private,4 Year,62514,62514,52200,97700,49,14,#4169E1,100%,53%,
9,William Carey University,Mississippi,MS,Private,4 Year,19410,19410,41100,71800,61,6,#4169E1,100%,57%,
6,William Jewell College,Missouri,MO,Private,4 Year,44330,44330,51400,94500,60,12,#4169E1,100%,54%,
21,William Paterson University of New Jersey,New-Jersey,NJ,Public,4 Year,24505,32705,50500,90200,44,7,#CD853F,75%,56%,
23,William Penn University,Iowa,IA,Private,4 Year,32552,32552,43900,78300,59,7,#4169E1,100%,56%,
5,Williams College,Massachusetts,MA,Private,4 Year,69950,69950,67500,127500,47,32,#4169E1,100%,53%,
5,Wilmington University,Delaware,DE,Private,4 Year,11210,11210,45100,76600,50,4,#4169E1,100%,59%,
16,Winona State University,Minnesota,MN,Public,4 Year,18435,24358,49700,86800,51,10,#CD853F,76%,57%,
11,Winthrop University,South-Carolina,SC,Public,4 Year,24902,39158,44300,79700,49,9,#CD853F,64%,56%,
20,Wisconsin Lutheran College,Wisconsin,WI,Private,4 Year,39915,39915,46200,82500,45,10,#4169E1,100%,56%,
3,Wittenberg University,Ohio,OH,Private,4 Year,49856,49856,52400,105400,61,22,#4169E1,100%,50%,
4,Wofford College,South-Carolina,SC,Private,4 Year,56530,56530,51300,96600,51,28,#4169E1,100%,53%,
3,Worcester Polytechnic Institute,Massachusetts,MA,Private,4 Year,65304,65304,73600,135500,47,86,#4169E1,100%,54%,
16,Xavier University,Ohio,OH,Private,4 Year,51310,51310,51800,94000,46,7,#4169E1,100%,55%,
11,Xavier University of Louisiana,Louisiana,LA,Private,4 Year,33535,33535,46700,88200,63,35,#4169E1,100%,53%,
1,Yale University,Connecticut,CT,Private,4 Year,69430,69430,70300,138300,53,22,#4169E1,100%,51%,
15,Yeshiva University,New-York,NY,Private,4 Year,55750,55750,63500,112800,40,11,#4169E1,100%,56%,
0,,Average of Public School,,Public,,18564,30059,49390,88708,54,16.24,#CD853F,62%,56%,500
1,,Average in Total,,,,36542,40916,50992,92163,54,16.72038567,white,89%,55%,
0,,Average of Private School,,Private,,47537,47537,51969,94269,53,17.01330377,#4169E1,100%,55%,1000
Debt,,Student Loan,,,,32731,32731,32731,32731,,,,,,
